YG;YTO Карго
YC;Ямал
R3;Якутия
MF;Хаймен
W7;Вингс оф Либанэн
WF;Вайдеро
WI;Вайт колорт бай ю
WS;ВестДжет
PN;Вест Эйр
EB;Вамос Эйр
VY;Вуелинг
V7;Волотея
Y4*;Воларис
UK;Вистара
VA;Вирджин Аустралиа
VS;Вирджин Атлантик
VN;Вьетнам
VJ;ВьетДжет
HY;Узбекистан Эйрвейс
UT;ЮТэйр
UQ;Урумчи Эйр
U6;Урал
5X;ЮПС
UA;Энайтид
B7;УНИ ЭЙР
PS;Юкрэйн Интернэшинал
TK;Туркиш
TU;Тунисэйр
X3*;ТУИфлай
GS;Тяньжин
WE;Тай Смайл
SL;Тай Лион Эйр
TG;Тай Эйрвэйз Интернэшинал
SF;Тассили
RO;TAROM
TP;ТАР Португал
VR;TACV Кабо Верде
TA;TACA
DT;TAAG Ангола
TW;Твай Эйр
RB;Сириан Араб Репаблик
LX;СВИСС
PY;Суринам Эйрвэйз
Y8;Супарна
XQ*;СанЭкспресс
UL;ШриЛанкан
SG;СпайсДжет
XZ;Саус Африкан Экспресс Эйрвэйз
SA;Саус Африкан Эйрвейз
SZ;Сомон Эйр
IE;Соломон
H2;SKY
SQ;Сингапур
MI;Силк Эйр
7L;Силк Вэй Вест
3U;Сычуань
ZH;Шензен
FM;Шанхай
SC;Шандонг
O3;SF
D2*;Авиакомпания «Северсталь»
DV;SCAT
6S;СаудиГалф
SV;Сауди Арабиан
SP;SATA Эйр Акоз
SK;SAS
FA*;Сафэйр
S7;C7
WB;РуандаЭйр
7R;Руслайн
DR;Руили
RJ;Роял Джорданиан
RL;Роял Флайт
BI;Роял Бруней
AT;Роял Эйр Марок
FV;Россия
WZ;Рэд Вингс
IQ;Казах Эйр
QR;Катар Эирвэйз
QF;Квантаз
P6;Привиледж Стайл
PW;Пресижн Эйр
M4;Постэ Эйр Карго
PO;Полар Эйр Карго
DP;Победа
PK;PIA Пакистан Интернейшинал
PR;Филиппин
NI;PGA-Португал
PC;Пегасус
EO;Пегас Флай
ZP;Паранэйр
OF;Оверлэнд Эйрвейз
8Q;Онур Эйр
WY;Оман Эйр
OA;Олимпик Эйр
BK;Окей Эйрвейз
BJ;Нувелэйр
N4;Нордвинд
Y7;НордСтар
5N;Нордавиа Реджинал
NP;Нил Эйр
NE;Несма
NO;Неос
KZ;NCA Ниппон Карго
8M;Мьянма Эйрвэйз Интернешнл
YM;Монтенегро
MB;MNG
OM;MIAT Монголиан
ME;MEA
L6;Мавритания Интернэшнл
M7;МасЭйр
MP;Мартинэйр Карго
AE;Мандарин
OD;Малиндо Эйр
MH;Малайзия
W5;Махан Эйр
LG;Люксэйр
CL;Люфтганза СитиЛайн
LH;Люфтганза Карго
LH;Люфтганза
8L;Лаки Эйр
LO;LOT Полиш
GJ;Лунг Эйр
LI;ЛИАТ
UC;LATAM Карго Чили
M3;LATAM Карго Бразил
LP;LATAM Перу
PZ;LATAM Парагвай
LA;LATAM Групп
XL;LATAM  Эквадор
4C;LATAM Коламбиа
JJ;LATAM Бразил
4M;LATAM Аргентина
QV;Лао
TM;LAM
KU;Кувейт Эйрвэйз
KY;Куньмин
KE;Кореан Эйр
KL;KLM
KQ;Кения Эйрвэйз
HO;Джуньяо
R5;Джордан Авиайшн
LJ;Джин Эйр
B6;ДжетБлу
7C;Чеджу Эйр
J9;Джазира Эйрвейз
NU;Джапан Трансоушен Эйр
JL;Джапан
6H;Израэ
EP;Иран Асман
B9;Иран Эйртур
IR;Иран Эйр
4O;ИнтерДжет
6E;Индиго
FI;Айсландэйр
IB;Иберия
F7;Ай Флай
UO;Гонконг Экспресс Эйрвэйз
HX;Гонконг
RH;Гонконг Эйр Карго
5K;Хи Флай
NS;Хэбэй
HA;Хауаян
HU;Хайнань
HR*;Хан Эйр
GX;GX
GF;Галф Эйр
G3;GOL Линхас Эриас
A9;Джорджиан Эйрвэйз
GA;Гаруда Индонезия
FU;Фучжоу
FH;Фрибёд
XY;Флайнас
FT;ФлайИджипт
FZ;Флайдубай
AY;Финэйр
FJ;Фуджи Эйрвейз
FX;ФедЭкс Экспресс
E9;Эвелоп
BR;EVA Эйр
EW;Евровингс
QY;Европиан Эйр Транспорт
YU;ЕвроАтлантик Эйрвейз
EY;Этихад Эйрвейз
ET;Эфиопиан
EK;Эмирэйтс
LY;ЭЛЬ АЛЬ
MS;Иджиптэйр
T3;Истен Эйрвейз
ES*;DHL Авиэйшн
D0;DHL Эйр
DL;Дельта Эйр Лайнс
OK;Чех
CY;Кипрус
CU;Кубана
OU;Кроэйша
SS;Корсар Интернэшнл
XC;Корендон
CM;COPA
8Z;Карго Эйавэйз
DE;Кондор
WX;СитиДжет
CZ;Чина Соусен
CF;Чина Постэл
G5;Чина Экспресс
MU;Чина Истен
CK;Чина Карго
CI;Чина
5J;Себу Пацифик
CX;Катай Пацифик
KA;Катай Драгон
V3;Карпатэйр
BW;Карибиан
CV;Карголюкс
W8;Карголджет Эйрвейс
JD;Кэпитал
K6;Камбоджа Ангкор Эйр
QC;Камаир-Ко
5C;CAL Карго
FB;Булгария Эйр
SN;Брюссельс
BA;Бритиш Эйрвэйз
TF;Браатенс Реджинал Авиацио
OB;БоА Боливиана де Авиацион
BV;Блу Панарама
0B;Блу Эйр
NT;Бинтер Канариас
BG;Биман Бангладеш
B2;Белавиа Белоруссиан
ID;Батик Эйр
PG;Бангкок Эйрвэйз
QH;Бамбо
UP;Бахамасэйр
ZF;Азур Эйр
AD;Азул Бразил
S4;Азорс
A4;Азимут
J2;Азербайджан
T0;Авианка Перу
2K;Авианка Эквадор
LR;Авианка Коста-Рика
AV;Авианка
