Город;Аэропорт;IATA код;ICAO код
Анапа;Витязево;AAQ;URKA
Абакан;Абакан;ABA;UNAA
Ачинск;Ачинск;ACS;UNKS
Алдан;Алдан;ADH;UEEA
Адлер;Адлер - Сочи;AER;URSS
Амдерма;Амдерма;AMV;ULDD
Архангельск;Талаги;ARH;ULAA
Астрахань;Астрахань;ASF;URWA
Барнаул;Барнаул;BAX;UNBB
Белорецк;Белорецк;BCX;UWUB
Москва;Быково;BKA;UUBB
Москва;Внуково;VKO;UUWW
Москва;Шереметьево;SVO;UUEE
Москва;Домодедово;DME;UUDD
Благовещенск;Игнатьево;BQS;UHBB
Братск;Братск;BTK;UIBB
Балаково;Балаково;BWO;UWSB
Брянск;Брянск;BZK;UUBP
Череповец;Череповец;CEE;ULBC
Челябинск;Челябинск;CEK;USCC
Чокурдах;Чокурдах;CKH;UESO
Чкаловский;Чкаловский;CKL;HRYR
Чульман;Чульман;CNN;UELL
Соловецкий;Solovky;CSH;ULAS
Чебоксары;Чебоксары;CSY;UWKS
Черский;Якут;CYX;UESS
Диксон;Диксон;DKS;UODD
Анадырь;Угольный;DYR;UHMA
Белгород;Белгород;EGO;UUOB
Енисейск;Енисейск;EIE;UNII
Элиста;Элиста;ESL;URWI
Магдагачи;Магдагачи;GDG;UHBI
Магадан;Сокол;GDX;UHMM
Геленджик;Геленджик;GDZ;URKG
Нижний Новгород;Нижний Новгород;GOJ;UWGG
Грозный;Грозный;GRV;URMG
Ханты-Мансийск;Ханты-Мансийск;HMA;HKHB
Чита;Чита;HTA;UIAA
Хатанга;Хатанга;HTG;UOHH
Игарка;Игарка;IAA;UOII
Ярославль;Туношна;IAR;UUDL
Ижевск;Ижевск;IJK;USII
Тикси;Тикси;IKS;UEST
Иркутск;Иркутск;IKT;UIII
Инта;Инта;INA;UUYI
Иваново;Иваново;IWA;UUBI
Йошкар-Ола;Йошкар-Ола;JOK;UWKJ
Кемерово;Кемерово;KEJ;UNEE
Калининград;Калининград;KGD;UMKK
Когалым;Когалым;KGP;USRK
Хабаровск;Новый;KHV;UHHH
Красноярск;Емельяново;KJA;UNKL
Тверь;Мигалово;KLD;UUEM
Калуга;Калуга;KLF;UUBC
Кострома;Кострома;KMW;UUBA
Курган;Курган;KRO;USUU
Краснодар;Пашковский;KRR;URKK
Котлас;Котлас;KSZ;ULKK
Самара;Курумоч;KUF;UWWW
Кировск;Кировск;KVK;ULMK
Киров;Киров;KVX;USKK
Комсомольск на Амуре;Комсомольск на Амуре;KXK;UHKK
Кызыл;Кызыл;KYZ;UNKY
Казань;Казань;KZN;UWKD
Лешуконское;Leshukonskoye;LDG;TAPT
Санкт-Петербург;Пулково;LED;ULLI
Санкт-Петербург;Ржевка;RVH;ULSS
Смоленск;Смоленск;LNX;UUBS
Липецк;Липецк;LPK;UUOL
Махачкала;Уйташ;MCX;URML
Мирный;Мирный;MJZ;UERR
Мурманск;Мурманск;MMK;ULMM
Магнитогорск;Магнитогорск;MQF;USCM
Минеральные Воды;Минеральные Воды;MRV;URMM
Нальчик;Нальчик;NAL;URMN
Набережные Челны;Набережные Челны;NBC;UWKE
Нефтекамск;Нефтекамск;NEF;UWUF
Нерюнгри;Нерюнгри;NER;UELL
Нефтеюганск;Нефтеюганск;NFG;USRN
Нижневартовск;Нижневартовск;NJC;USNN
Нарьян-Мар;Нарян-Мар;NNM;ULAM
Новороссийск;Крымск;NOI;
Ноябрьск;Ноябрьск;NOJ;USRO
Новокузнецк;Новокузнецк;NOZ;UNWW
Новый Уренгой;Новый Уренгой;NUX;USMU
Новгород;Новогород;NVR;ULNN
Надым;Надым;NYM;USMM
Орел;Орел;OEL;UUOR
Владикавказ;Владикавказ;OGZ;URMO
Охотск;Охотск;OHO;UHOO
Октябрьский;Октябрьский;OKT;UWUK
Омск;Омск;OMS;UNOO
Орск;Орск;OSW;UWOR
Новосибирск;Толмачево;OVB;UNNT
Пермь;Пермь;PEE;USPP
Петрозаводск;Петрозаводск;PES;ULPB
Печора;Печора;PEX;UUYP
Пенза;Пенза;PEZ;UWPP
Петропавловск-Камчатский;Елизово;PKC;UHPP
Псков;Псков;PKV;ULOO
Бухта Провидения;Проведения;PVS;UHMD
Бухта Провидения;Проведения;PVX;UHMD
Певек;Певек;PWE;UHMP
Полярный;Полярный;PYJ;UERP
Радужный;Радужный;RAT;USNR
Оренбург;Оренбург;REN;UWOO
Ростов;Ростов-на-Дону;ROV;URRR
Саратов;Саратов;RTW;UWSS
Рыбинск;Рыбинск;RYB;UUBK
Рязань;Турлатово;RZN;UUWR
Сыктывкар;Сыктывкар;SCW;UUYY
Сургут;Сургут;SGC;USRR
Саранск;Саранск;SKX;UWPS
Салехард;Салехард;SLY;USDD
Ставрополь;Ставрополь;STW;URMT
Екатеринбург;Кольцово;SVX;USSS
Стрежевой;Стрежевой;SWT;UNSS
Тамбов;Тамбов;TBW;UUOT
Тюмень;Рощино;TJM;USTR
Томск;Богашево;TOF;UNTT
Тобольск;Тобольск;TOX;USTO
Тула;Тула;TYA;UUBT
Тында;Тында;TYD;UHBW
Ухта;Ухта;UCT;UUYH
Уфа;Уфа;UFA;UWUU
Усть-Илимск;Усть-Ильимск;UIK;UIBS
Усть-Кут;Усть-Кут;UKX;UITT
Ульяновск;Восточный;ULY;UWLW
Урай;Урай;URJ;USHU
Курск;Курск;URS;UUOK
Усинск;Усинск;USK;UUYS
Бугульма;Бугульма;UUA;UWKB
Улан-Удэ;Мухино;UUD;UIUU
Южно-Сахалинск;Южно-Сахалинск;UUS;UHSS
Вологда;Вологда;VGD;ULWW
Воркута;Воркута;VKT;UUYW
Волгодонск;Волгодонск;VLK;URRY
Великие Луки;Великие Луки;VLU;ULOL
Волгоград;Волгоград;VOG;URWW
Воронеж;Чертовицкое;VOZ;UUOO
Великий Устюг;Великий Устюг;VUS;ULWU
Владивосток;Владивосток;VVO;UHWW
Якутск;Якутск;YKS;UEEE
