iata_code;icao_code;name_eng;city_eng;страна_англ
AAB;YARY;Аррабери;Аррабери;Австралия
AAC;HEAR;Международный аэропорт Аль Ариш;Аль Ариш;Египет
AAD;TVSV;Ад-Дабба;Ад-Дабба;Судан
AAE;DABB;Солеварни;Аннаба;Алжир
AAF;KAAF;Муниципальный;Апалачикола;Соединенные Штаты
AAG;SSYA;Арапоти;Арапоти;Бразилия
AAH;EDKA;Ахен/Мерцбрук;Ахен;Германия
AAI;SWRA;скаты;скаты;Бразилия
AAJ;SMCA;Взлетно-посадочная полоса Кайана;Аварадам;Суринам
AAK;NGUK;Аранука;Аранука;Кирибати
AAL;EKYT;Ольборг;Ольборг;Дания
AAM;FAMD;Мала Мала;Мала Мала;Южная Африка
AAN;OMAL;Аль-Айн;Аль-Айн;Объединенные Арабские Эмираты
AAO;SVAN;Кусочек;Кусочек;Венесуэла
AAP;BGAG;Аэропорт Андрау;Хьюстон, Техас;Соединенные Штаты
AAQ;URKA;Витязево;Анапа;Российская Федерация
AAR;EKAH;Аэропорт Орхус;Орхус;Дания
AAS;;Апалапсили;Апалапсили;Индонезия
AAT;ZWAT;Алтай;Алтай;Китай
AAU;NSAU;задницы;задницы;Самоа
AAV;RPMA;Аллах Долина;Сураллах;Филиппины
AAW;OPAB;Абботтабад;Абботтабад;Пакистан
AAX;SBAX;Араша;Араша;Бразилия
AAY;OYGD;Аль-Гайда;Аль-Гайда;Йемен
AAZ;MGQZ;амбриз;амбриз;Ангола
ABA;UNAA;Абакан;Абакан;Российская Федерация
ABB;EGUD;Станция РАФ;Абингдон;Великобритания
ABC;LEAB;Равнины;Альбасете;Испания
ABD;OIAA;Абадан;Абадан;Иран
ABF;NGAB;Абайанг;Абайанг;Кирибати
ABG;YABI;Абингдон;Абингдон;Австралия
ABH;YAPH;Альфа;Альфа;Австралия
ABI;KABI;Муниципальный;Абилин;Соединенные Штаты
ABJ;DIAP;Феликс Уфуэ-Буаньи;Абиджан;Кот-д'Ивуар
ABK;HAKD;Узкая могила;Узкая могила;Эфиопия
ABL;PAFM;Эмблер;Эмблер;Соединенные Штаты
ABM;YNPE;Бамага Инджину;Бамага, Квинсленд;Австралия
ABN;SMBN;Пчела;Пчела;Суринам
ABO;DIAO;Абоиссо;Абоиссо;Кот-д'Ивуар
ABP;;Аткамба;Аткамба;Папуа - Новая Гвинея
ABQ;KABQ;Альбукерке Интернэшнл;Альбукерке;Соединенные Штаты
ABR;KABR;Муниципальный;Абердин;Соединенные Штаты
ABS;HEBL;Абу-Симбел;Абу-Симбел;Египет
ABT;OEBA;Аль-Акик;Аль-Баха;Саудовская Аравия
ABU;WATA;Атамбуа;Атамбуа;Индонезия
ABV;DNAA;Международный аэропорт Ннамди Азикиве;Абуджа;Нигерия
ABW;;Абау;Абау;Папуа - Новая Гвинея
ABX;YMAY;Олбери;Олбери;Австралия
ABY;KABY;Округ Догерти;Олбани;Соединенные Штаты
ABZ;EGPD;Дайс;Абердин;Великобритания
ACB;KACB;Округ Антрим;Беллер;Соединенные Штаты
ACC;DGAA;Убирайся;Аккра;Гана
ACD;SKAD;Аканди;Аканди;Колумбия
ACE;GCRR;Лансароте;Риф;Испания
ACH;LSZR;Альтенрайн;Альтенрайн;Швейцария
ACI;EGJA;Блей;Олдерни;Великобритания
ACJ;KACJ;Анурадхапура;Анурадхапура;Шри-Ланка
ACK;KACK;Мемориал Нантакета;Нантакет;Соединенные Штаты
ACL;;Чистая вода;Чистая вода;Колумбия
ACM;;Арика;Арика;Колумбия
ACN;MMCC;Международный;Акуна Сити;Мексика
ACO;LSZD;Аскона;Аскона;Швейцария
ACP;OITM;Саханд;Саханд;Иран
ACR;SKAC;Араракуара;Араракуара;Колумбия
ACS;UNKS;Ачинск;Ачинск;Российская Федерация
ACT;KACT;Муниципальный;Уэйко;Соединенные Штаты
ACU;;Ачутупо;Ачутупо;Панама
ACV;KACV;Арка;Арка;Соединенные Штаты
ACX;ZUYI;Синъи;Синъи;Китай
ACY;KACY;Атлантик-Сити, международный;Атлантик-Сити;Соединенные Штаты
ACZ;OIZB;Заболь А/П;Заболь;Иран
ADA;LTAF;Адана;Адана;Турция
ADB;LTBJ;Аднан Мендерес;Измир;Турция
ADC;KADC;Андакомб;Андакомб;Папуа - Новая Гвинея
ADD;HAAB;Боле Интернэшнл;Аддис-Абеба;Эфиопия
ADE;OYAA;Международный;Аден;Йемен
ADF;LTCP;Адияман;Адияман;Турция
ADG;KADG;Ленави Каунти;Адриан;Соединенные Штаты
ADH;UEEA;Алдан;Алдан;Российская Федерация
ADI;FYAR;Клюква;Клюква;Намибия
ADJ;OJAM;Международный аэропорт Марка;Амман;Иордания
ADK;PADK;Остров Адак Н.С.;Остров Адак;Соединенные Штаты
ADL;YPAD;Международный аэропорт Аделаиды;Аделаида;Австралия
ADM;KADM;Муниципальная квартира Ардмора;Ардмор;Соединенные Штаты
ADN;SKAN;Анды;Анды;Колумбия
ADO;YAMK;Андамука;Андамука;Австралия
ADP;VCCG;Он учит;Он учит;Шри-Ланка
ADQ;PADQ;Кадьяк аэропорт;Коды;Соединенные Штаты
ADR;KPHH;Эндрюс;Эндрюс;Соединенные Штаты
ADS;KADS;Аддисон аэропорт;Даллас;Соединенные Штаты
ADT;KADH;Есть;Есть;Соединенные Штаты
ADU;OITL;пахотный;пахотный;Иран
ADV;HSDI;И более;И более;Великобритания
ADW;KADW;База данных Эндрюс;Кэмп-Спрингс;Соединенные Штаты
ADX;EGQL;Лейчары;Сент-Эндрюс;Великобритания
ADY;FAAL;Все дни;Все дни;Южная Африка
ADZ;SKSP;Остров Сан-Андрес;Остров Сан-Андрес;Колумбия
AEA;NGTB;Атолл Абемама;Атолл Абемама;Кирибати
AED;KTDO;По убыванию;По убыванию;Соединенные Штаты
AEG;WIME;Аек Годанг;Аек Годанг;Индонезия
AEH;FTTC;Абечер;Абечер;Чад
AEI;OPKC;Альхесирас;Альхесирас;Испания
AEK;;Он смеется;Он смеется;Папуа - Новая Гвинея
AEL;KAEL;Альберт Ли;Альберт Ли;Соединенные Штаты
AEO;GQNA;Айун Эль Атрусс;Айун Эль Атрусс;Мавритания
AEP;SABE;Арпт. Хорхе Ньюбери;Буэнос айрес;Аргентина
AER;URSS;Адлер - Сочи;Адлер;Российская Федерация
AES;ENAL;Вибра;Олесунн;Норвегия
AET;PFAL;Будьте здоровы;Будьте здоровы;Соединенные Штаты
AEU;OIBA;Абу Муса;Абу Муса;Иран
